Brand,Model,Dimension (mm),,,Robot weight (Kg),Width cleaning (mm),Brush Pressure (Kg),Vacumm Pressure (kPa),Speed (m/s),Noise leve (dB),Work station,Dock Charge,Manual Charge,Cleaning Efficiency (m²/h),,,,,Tank capacity (L.),,,,Cleaning Function,,,,,,Navigation,,,Battery,,,,,,,Minimum passable width (mm),Minimum passable height (mm),Maximum Narrow cross (mm),Min. Turn width (mm),Min.edge from wall (mm),Max.Step High (mm),Slope Angle (๐),Spot AI,Outdoor / Indoor,IP,HEPA,Floor Type,,,,,,,,,,,,,,,,,Floor Layout Method,,,,,
,,,,,,,,,,,,,,,,,,,Clean,Waste,Trash,Dust bag,Sweep,,Mop,,Scrub brush,,Lidar,,Camera,Type,Voltage (Volt),Capacity (Ah),Charging time(hr.),Work time (hr.),,,,,,,,,,,,,,Paving blocks,Granite,Marble,Terrazzo,Terracotta,Ceramic,Smooth Concrete,Coarse Concrete,Stamped Concrete,Asphalt,Epoxy,Tile,Short Carpet,Long Carpet,SPC,Laminate,Vinyl,"2""x2""","4""x4""","8""x8""","10""x10""","12""x12""","20""x20"""
,,L,W,H,,,,,,,,,,Sweep,Scrub,Mop,Sweep & Scrub,Vacuum,,,,,No Vacuum,Vacuum,Dry,Wet,Roller,Disc,2D,3D,VSLAM,,,,,Sweep,Scrub,Sweep & Vacuum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gausium,Beetle 2.0,860,600,550,112,750,,,1.2,,FALSE,FALSE,,2000,7000,,,,,,40,45,,TRUE,,,,,FALSE,TRUE,FALSE,,,60,4,5,,,,,,950,0,,8,TRUE,,,,,,,,,,TRUE,TRUE,,,TRUE,,,,,,TRUE,,,,,,
Gausium,Omnie,810,700,1070,157,520,,,,,TRUE,,,,2621,3604,,,33,24,,,,FALSE,,TRUE,TRUE,,TRUE,TRUE,,,,,2,8,3,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,TRUE,,,,,,TRUE,,,,,,
Gausium,MIRA,650,550,900,130,750,25,,1.4,,TRUE,,TRUE,3780,2016,3124,,,22,20,45,,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,LFP,,60,2,8,4,10,660,,,950,0,,6,,Outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
Gausium,Phantas,540,440,617,48,330 - 410,,,,,,TRUE,TRUE,600,300,,,,,,,8,,TRUE,,,,,TRUE,FALSE,,LFP,,,2,18,4,4,,,,,,,,,,,,,TRUE,TRUE,,,TRUE,TRUE,,,,TRUE,,,,,,TRUE,,,,,,
Gausium,Marvel,1250,820,1150,,,50,,1.4,,TRUE,,,,,,3024,,72,65,,,,,,,,TRUE,TRUE,TRUE,FALSE,LIP,,120,2,8,4,10,900,,,1300,,,10,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,,,,,
PUDU,MT1 VAC,840,600,490,,,,,,,,,,1400,,,,1400,,,,,,TRUE,,,,,,,TRUE,,,,3.5,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUDU,MT1,840,600,490,,,,,,,,,,1400,,,,,,,,,TRUE,,,,,,,,TRUE,,,,3,4-8,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
PUDU,CC1 Pro,629,552,695,,,,,,,,,,700,700,700,,700,15,15,,,,TRUE,,TRUE,TRUE,,,,TRUE,,,50,3,5,5,,700,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
PUDU,BG1,1195,760,1303,,,,,,,,,,,2000,2000,,,75,60,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,90,3,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUDU,BG1 Pro,1195,760,1304,,,,,,,,,,,2000,2000,,,75,60,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,90,3,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosiwit,Skywalker GT,890,676,1070,,,33,,,,TRUE,,,,2160,,,,45,46,,,,,,,TRUE,,,TRUE,,,,,2,12,5,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosiwit,Skywalker GT,890,676,1070,,,33,,,,TRUE,,,,2160,,,,45,46,,,,,,,,TRUE,,TRUE,,,,,2,12,5,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosiwit,TITAN810,1630,1100,1400,,,115,,,,TRUE,,,,5200,,,,150,190,,,,,,,TRUE,,,TRUE,,,,200,,,6,,120,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosiwit,Skywalker 50,908,706,1089,,,29,,,,,,,1800,1800,1800,,,40,36,,,,,,,,TRUE,,TRUE,,,,,1,10,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosiwit,X-Rolling,1600,1200,1200,,,,,,,,,,4000,,,,,,,,100,,,,,,,,TRUE,,,,,,6,,,,,,,,,,,Outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
WIMSHA,T1,620,550,700,70,420,,,,68,,TRUE,TRUE,1200,,,,,14,15,,7,,,,,,,,,,,,,3.5,,4,,,,,,,,,,Indoor,,,,TRUE,,,,TRUE,,,,,TRUE,,TRUE,,,TRUE,,,,,,,
